CODLOCAL,CEN_EDU_L,CODCPSIG,NOMCPSIG,FUENTE_LOC,X_LONGITUD,Y_LATITUD,Fecha,VAL,NALT_LOCAL,CORD_YX
645722,SE├æOR DE LA JUSTICIA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98897000000,-11.94895000000,11/14/2016,,328,-11.94895-76.98897
714409,HIJOS DE NUESTRA SE├æORA DE LA MERCED II,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00132000000,-11.99956000000,11/16/2016,,219,-11.99956-77.00132
589434,BERTOLT BRECHT,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00767000000,-11.97996000000,11/15/2016,,231,-11.97996-77.00767
530170,EL PARAISO,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.97298000000,-11.96546000000,11/11/2016,,356,-11.96546-76.97298
715343,ENGLISH SCHOOL,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.96570000000,-12.02280000000,11/16/2016,,264,-12.0228-76.9657
574041,EDMUND TAYLOR WHITTAKER,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.96747000000,-11.91551000000,11/16/2016,,516,-11.91551-76.96747
597127,CORAZON DE MARIA MILAGROSA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98139000000,-11.94193000000,11/16/2016,,368,-11.94193-76.98139
598099,MONTESSORI DE MANGOMARCA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98427000000,-12.01860000000,11/24/2016,,235,-12.0186-76.98427
564216,ABC KIDS,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00401000000,-11.95928000000,11/21/2016,,288,-11.95928-77.00401
537157,HAPPY DAYS,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98964000000,-11.96403000000,11/16/2016,,285,-11.96403-76.98964
532193,MADRE TERESA DE CALCUTA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98499000000,-11.95658000000,11/14/2016,,316,-11.95658-76.98499
588335,BLAS PASCAL DE ZARATE,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00299000000,-12.02434000000,11/15/2016,,205,-12.02434-77.00299
707989,ELION,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.96154000000,-11.93000000000,11/16/2016,,490,-11.93-76.96154
619681,MONTEFIORY SCHOOL,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98411000000,-12.01893000000,11/24/2016,,235,-12.01893-76.98411
323793,0037 SANTA ROSA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99776000000,-12.02552000000,11/22/2016,,211,-12.02552-76.99776
324330,0115 20,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99129000000,-11.93844000000,11/14/2016,,375,-11.93844-76.99129
323830,0043 JUAN PABLO II,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.01436000000,-12.00575000000,11/22/2016,,214,-12.00575-77.01436
326150,BLAS PASCAL,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00294000000,-12.02473000000,11/15/2016,,204,-12.02473-77.00294
327239,SANTO DOMINGO SAVIO,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00322000000,-11.97328000000,11/14/2016,,244,-11.97328-77.00322
324716,0144,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99807000000,-11.96420000000,11/22/2016,,268,-11.9642-76.99807
326466,MARIA DE LOS ANGELES,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98132000000,-11.94185000000,11/24/2016,,368,-11.94185-76.98132
323811,0039 JOSE MARIA ARGUEDAS,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00232000000,-11.97192000000,11/22/2016,,248,-11.97192-77.00232
323825,0041 EL BOSQUECITO,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99889000000,-11.98121000000,11/22/2016,,239,-11.98121-76.99889
323769,0032 NI├æO JESUS DE ZARATE,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98596000000,-12.02285000000,11/22/2016,,231,-12.02285-76.98596
326881,ROSA DE AMERICA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98217000000,-11.94808000000,11/16/2016,,351,-11.94808-76.98217
325909,SAN GERARDO,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98255000000,-12.01773000000,11/24/2016,,236,-12.01773-76.98255
326013,SAN JUAN BOSCO,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.01389000000,-11.98922000000,11/23/2016,,224,-11.98922-77.01389
326206,MARIA REYNA DEL CIELO,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99768000000,-12.00016000000,11/16/2016,,221,-12.00016-76.99768
327343,NUESTRA SE├æORA DEL ENCUENTRO,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.97664000000,-11.96533000000,11/16/2016,,339,-11.96533-76.97664
