467,Corahain,-77.70372128,-9.88896677
468,Huaylash,-76.63192828,-9.88892477
469,Andahuaylas,-76.63191803,-9.88886915
470,Huiscashtuna,-76.74314615,-9.8887574
471,Yanapamoa,-76.84565826,-9.90277165
472,Guytoc,-76.80040389,-9.90259841
473,Cashapampa Grande,-76.6694389,-9.90251515
474,Pedrosa,-76.21119541,-9.89964142
475,Supaypa,-76.70479953,-9.90239528
476,Jesus Nazareno de Independencia,-76.56326167,-9.898638333
477,Aschal,-76.37347403,-9.90222303
478,Rosa Pampa,-76.01114602,-9.90193553
479,Gahuish,-76.55640678,-9.90175565
480,Congoncillo,-78.14685052,-9.9017544
481,Llicopampa,-76.64207157,-9.90159093
482,Ashash,-76.39604667,-9.896908333
483,Plazapampa,-76.15201777,-9.9012134
484,Ovas,-76.21232202,-9.8632249
485,Tallaspina / Guellaspina,-76.63986965,-9.8632089
486,Callo Rumi,-76.53014866,-9.8630439
487,Quenuarajra,-76.6821704,-9.86300065
488,Huanchag,-75.94453028,-9.86296037
489,Santa Maria del Valle,-76.16995393,-9.86271221
490,Chaupi Cruz,-76.58917589,-9.86265678
491,Illa Tingo,-75.91907632,-9.862793755
492,Quillcay,-76.31636115,-9.86247628
493,Shogush / Shogosh,-76.47932065,-9.86247365
494,San Marcos,-76.07616054,-9.86245663
495,Saporumi,-76.58535614,-9.86231802
496,Quisha,-76.54108526,-9.86210727
497,Mashra,-77.38791452,-9.86209702
498,Goyar Punta,-76.00321962,-9.8618947
499,Hachasjoto,-76.0860314,-9.86186953
500,Chogopampa,-76.52279667,-9.86618
501,Alpahuanca / Santa Fe de Alpahuanca,-76.5836934,-9.87548465
502,San Cristobal de Naunan,-75.91126683,-9.876244633
503,Higos,-77.76656289,-9.8750674
504,Shullana,-76.95698802,-9.87499502
505,Yanatininan,-76.59857667,-9.85063
506,Yurac Corral,-77.60091053,-9.87487877
507,Huarianga,-76.58538,-9.883923333
508,Margarita Pampa,-77.30063577,-9.87433828
509,Asiac,-77.5937,-9.878105
510,Huanuco Viejo,-76.81204027,-9.8741479
511,Huanuco Pampa,-76.80703667,-9.882896666
512,Raco,-76.00253345,-9.87412514
