UBIGEO,DEP,PROV,DIST,CODCP,NOMCP,MNOMCP,CAPITAL,CON_IE,NIVEL,CPINEI,CPINEI2,CPINEI_BKP,FUENTE_G,Z,XGD,YGD,Y_X_COORD
100804,HUANUCO,PACHITEA,UMARI,234895,Yunca Shunto,YUNCA SHUNTO,0,0,,,,,IGN,2881,-76.02793614000,-9.85957127000,-9.85957126999995-76.02793614
100802,HUANUCO,PACHITEA,CHAGLLA,624380,Palmapampa,PALMAPAMPA,0,0,,1008020027,,1008020027,INEI,2532,-75.72283220200,-9.75442373400,-9.75442373399994-75.722832202
101102,HUANUCO,YAROWILCA,CAHUAC,611308,Sinchi Roca,SINCHI ROCA,0,0,,1011020020,,1011020020,INEI,3419,-76.62973500000,-9.85905666700,-9.85905666699995-76.629735
101102,HUANUCO,YAROWILCA,CAHUAC,619030,Progresista (Pogra),PROGRESISTA (POGRA),0,0,,1011020019,,1011020019,INEI,3682,-76.63508333300,-9.86526666700,-9.86526666699996-76.635083333
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,131198,Conchumayo,CONCHUMAYO,0,1,GP,1001090067,,1001090067,MED-GPS,1857,-76.18910020000,-9.85900190000,-9.85900189999995-76.1891002
100506,HUANUCO,HUAMALIES,MIRAFLORES,622667,Pucacocha,PUCACOCHA,0,0,,,,,INEI,4374,-76.90132027000,-9.38371090000,-9.38371089999993-76.90132027
021007,ANCASH,HUARI,HUACHIS,214310,Choquemarcan,CHOQUEMARCAN,0,0,,,,,IGN,3141,-77.07797690000,-9.38362252000,-9.38362251999996-77.0779769
020611,ANCASH,CARHUAZ,YUNGAR,525349,Trigopampa,TRIGOPAMPA,0,1,GP,0206110012,,0206110012,MED-GPS,3020,-77.60303092000,-9.38443968000,-9.38443967999996-77.60303092
021015,ANCASH,HUARI,SAN PEDRO DE CHANA,531189,Ullucuyoc,ULLUCUYOC,0,0,,,,,IGN,3327,-77.01741103000,-9.38321177000,-9.38321176999995-77.0174110299999
100503,HUANUCO,HUAMALIES,CHAVIN DE PARIARCA,621368,Huangur  Cuta,HUANGUR  CUTA,0,0,,1005030013,,1005030013,INEI,3547,-76.75409998600,-9.37861997800,-9.37861997799996-76.754099986
020611,ANCASH,CARHUAZ,YUNGAR,544382,Carian,CARIAN,0,1,P,0206110009,,0206110009,MED-GPS,2806,-77.59018955000,-9.38051292000,-9.38051291999994-77.5901895499999
100101,HUANUCO,HUANUCO,HUANUCO,229785,Piquitambo,PIQUITAMBO,0,0,,1001010058,,1001010058,IGN,2667,-76.34148490000,-9.84961103000,-9.84961102999995-76.3414849
100317,HUANUCO,DOS DE MAYO,RIPAN,240593,Intipumco,INTIPUMCO,0,0,,,,,IGN,3747,-76.87239978000,-9.84948240000,-9.84948239999994-76.87239978
100801,HUANUCO,PACHITEA,PANAO,545663,Agua Blanca,AGUA BLANCA,0,1,GP,1008020041,,1008020041,MED-GPS,2734,-75.92828715000,-9.84946459000,-9.84946458999997-75.92828715
190308,PASCO,OXAPAMPA,CONSTITUCION,311182,La Inmaculada,LA INMACULADA,0,0,,,,,IBC,267,-75.08240885100,-9.84871016400,-9.84871016399995-75.082408851
021104,ANCASH,HUARMEY,HUAYAN,127693,Ranchin,RANCHIN,0,1,P,0211040003,,0211040003,MED-GPS,2482,-77.71121250000,-9.84194224000,-9.84194223999998-77.7112125
101106,HUANUCO,YAROWILCA,OBAS,239361,Pampa Corral,PAMPA CORRAL,0,0,,1011060084,,1011060084,IGN,3645,-76.68035402000,-9.84754028000,-9.84754027999998-76.68035402
101102,HUANUCO,YAROWILCA,CAHUAC,527421,Buenos Aires,BUENOS AIRES,0,1,GP,1011020005,,1011020005,MED-GPS,3718,-76.64801846000,-9.84753945000,-9.84753944999994-76.6480184599999
100804,HUANUCO,PACHITEA,UMARI,514238,Chuquillo / Chunchillco,CHUQUILLO / CHUNCHILLCO,0,0,,1008040017,,1008040017,IGN,2155,-75.94403603000,-9.84745789000,-9.84745788999993-75.94403603
190308,PASCO,OXAPAMPA,CONSTITUCION,611595,Puerto Violeta,PUERTO VIOLETA,0,1,GP,1903080011,,1903080011,MED-GPS,219,-74.91217078000,-9.85597037000,-9.85597036999997-74.9121707799999
250301,UCAYALI,PADRE ABAD,PADRE ABAD,517586,Cedruyo,CEDRUYO,0,1,GP,2503010035,,2503010035,MED-GPS,303,-75.47262150000,-9.06827547000,-9.06827546999995-75.4726214999999
021206,ANCASH,HUAYLAS,PAMPAROMAS,211266,Puquio,PUQUIO,0,1,IP,0212060018,,0212060018,MED-GPS,3196,-77.96689855000,-9.07387181000,-9.07387180999996-77.9668985499999
020301,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,531665,Shuyumachey,SHUYUMACHEY,0,0,,0203010013,,0203010013,IGN,3879,-77.03063328000,-9.07629452000,-9.07629451999998-77.03063328
020301,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,546626,Chabela / Chabela Ucro,CHABELA / CHABELA UCRO,0,0,,0203010014,,0203010014,IGN,3302,-77.01557715000,-9.07629365000,-9.07629364999997-77.01557715
101102,HUANUCO,YAROWILCA,CAHUAC,537210,Huangramarca,HUANGRAMARCA,0,0,,1011020040,,1011020040,IGN,3479,-76.64793264000,-9.83493365000,-9.83493364999993-76.64793264
101101,HUANUCO,YAROWILCA,CHAVINILLO,210229,Hurianjaga,HURIANJAGA,0,0,,,,,IGN,3776,-76.57855377000,-9.83488702000,-9.83488701999994-76.57855377
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,625231,San Cristobal de Querapampa,SAN CRISTOBAL DE QUERAPAMPA,0,0,,,,,INEI,2552,-76.21232028000,-9.84126953000,-9.84126952999998-76.21232028
101101,HUANUCO,YAROWILCA,CHAVINILLO,542928,Huayuculano,HUAYUCULANO,0,1,IPS,1011010053,,1011010053,MED-GPS,3428,-76.62075471000,-9.84114814000,-9.84114813999997-76.62075471
100104,HUANUCO,HUANUCO,CHURUBAMBA,551244,Pacapucro,PACAPUCRO,0,1,IP,1001040076,,1001040076,MED-GPS,1868,-76.13965331000,-9.84110020000,-9.84110019999997-76.13965331
021702,ANCASH,RECUAY,CATAC,214478,Ruripampa,RURIPAMPA,0,0,,,,,IGN,4419,-77.26175915000,-9.84105928000,-9.84105927999997-77.26175915
100301,HUANUCO,DOS DE MAYO,LA UNION,235637,Monterrico,MONTERRICO,0,1,I,,,,IGN,3298,-76.80688689000,-9.84098428000,-9.84098427999993-76.80688689
100301,HUANUCO,DOS DE MAYO,LA UNION,111206,Chumipata,CHUMIPATA,0,1,G,1003010004,,1003010004,IGN,3571,-76.79137976000,-9.84057353000,-9.84057352999997-76.79137976
101101,HUANUCO,YAROWILCA,CHAVINILLO,649827,Jiramachay,JIRAMACHAY,0,0,,1011010059,,1011010059,INEI,3509,-76.59033666700,-9.83897666700,-9.83897666699994-76.590336667
020201,ANCASH,AIJA,AIJA,234848,Aro Cancha,ARO CANCHA,0,0,,,,,IGN,4274,-77.53991015000,-9.84054015000,-9.84054014999998-77.53991015
101101,HUANUCO,YAROWILCA,CHAVINILLO,649818,Cashaucro,CASHAUCRO,0,0,,1011010039,,1011010039,INEI,3889,-76.50205000000,-9.82602500000,-9.82602499999996-76.5020499999999
101101,HUANUCO,YAROWILCA,CHAVINILLO,132010,Huacuto,HUACUTO,0,1,IP,1011010052,,1011010052,MED-GPS,3383,-76.63002664000,-9.84010631000,-9.84010630999995-76.63002664
021103,ANCASH,HUARMEY,CULEBRAS,528883,Cuzmo,CUZMO,0,1,G,0211030008,,0211030008,MED-GPS,434,-78.00744871000,-9.83813856000,-9.83813855999995-78.0074487099999
020402,ANCASH,ASUNCION,ACOCHACA,126581,Mismi,MISMI,0,0,,0204020018,,0204020018,IGN,3588,-77.40108940000,-9.07439927000,-9.07439926999996-77.4010894
250104,UCAYALI,CORONEL PORTILLO,MASISEA,224436,Shatanya,SHATANYA,0,0,,,,,IGN,217,-73.48723339000,-9.07422090000,-9.07422089999994-73.48723339
100313,HUANUCO,DOS DE MAYO,PACHAS,523577,Carampuquio,CARAMPUQUIO,0,0,,1003130158,,1003130158,IGN,4111,-76.87317302000,-9.77396665000,-9.77396664999998-76.87317302
020201,ANCASH,AIJA,AIJA,218758,Ututo,UTUTO,0,0,,,,,IGN,3874,-77.57807428000,-9.77387090000,-9.77387089999996-77.57807428
101106,HUANUCO,YAROWILCA,OBAS,542899,Chushle Jircan,CHUSHLE JIRCAN,0,0,,,,,IGN,3273,-76.66931353000,-9.77358515000,-9.77358514999997-76.66931353
021206,ANCASH,HUAYLAS,PAMPAROMAS,518208,Catumarca,CATUMARCA,0,0,,,,,IGN,3725,-77.95854389000,-9.07598240000,-9.07598239999993-77.95854389
021201,ANCASH,HUAYLAS,CARAZ,114956,Rinconada,RINCONADA,0,1,GP,0212010042,,0212010042,MED-GPS,2318,-77.79442061000,-9.07560465000,-9.07560464999995-77.79442061
100403,HUANUCO,HUACAYBAMBA,COCHABAMBA,539407,Chicha Verde,CHICHA VERDE,0,0,,1004030012,,1004030012,IGN,3852,-76.84613465000,-9.07558290000,-9.07558289999997-76.84613465
101101,HUANUCO,YAROWILCA,CHAVINILLO,620754,Ichic Huaranga,ICHIC HUARANGA,0,0,,,,,INEI,3499,-76.62561715000,-9.83646677000,-9.83646676999996-76.62561715
101106,HUANUCO,YAROWILCA,OBAS,514607,Cuchicancha,CUCHICANCHA,0,0,,1011060078,,1011060078,IGN,3666,-76.67721303000,-9.83632428000,-9.83632427999993-76.67721303
101106,HUANUCO,YAROWILCA,OBAS,612174,Putaga,PUTAGA,0,0,,1011060077,,1011060077,INEI,3559,-76.68113166700,-9.83862000000,-9.83861999999993-76.681131667
020201,ANCASH,AIJA,AIJA,228626,Tucu Huaganan,TUCU HUAGANAN,0,0,,,,,IGN,4096,-77.52990814000,-9.83616891000,-9.83616890999997-77.52990814
